article_id,entity_name,entity_type,source,language,topic,topic_master,topic_label,sentiment_label,sentiment_score,sentiment_neg_score,sentiment_neu_score,sentiment_pos_score,headline_sentiment_label,headline_sentiment_score,headline_sentiment_neg_score,headline_sentiment_neu_score,headline_sentiment_pos_score,emotion_label_clean,published_at,time_period,day_of_week,is_duplicate,has_quality_snippet,source_label,source_lean,date,sentiment_intensity,headline_intensity,sentiment_divergence
3,New York Times,Organization,ynet,Hebrew,both,International Diplomacy,Hamas activist sourced critical reporting,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9998,0.0002,0.9998,0.0,anger,2026-05-13 16:52:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0002,0.0002
3,IDF,Organization,ynet,Hebrew,both,International Diplomacy,Hamas activist sourced critical reporting,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9998,0.0002,0.9998,0.0,anger,2026-05-13 16:52:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0002,0.0002
4,Panama,Location,ynet,Hebrew,both,Other,Israeli tourist accident in Panama,Neutral,0.9629,0.037,0.9629,0.0002,Neutral,0.8901,0.1099,0.8901,0.0,sadness,2026-05-13 16:50:13,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0368,-0.1099,0.0731
4,Israel,Location,ynet,Hebrew,both,Other,Israeli tourist accident in Panama,Neutral,0.9629,0.037,0.9629,0.0002,Neutral,0.8901,0.1099,0.8901,0.0,sadness,2026-05-13 16:50:13,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0368,-0.1099,0.0731
4,La Chorrera,Location,ynet,Hebrew,both,Other,Israeli tourist accident in Panama,Neutral,0.9629,0.037,0.9629,0.0002,Neutral,0.8901,0.1099,0.8901,0.0,sadness,2026-05-13 16:50:13,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0368,-0.1099,0.0731
5,Israel,Location,ynet,Hebrew,politics,Security Operations,drug smuggling arrest,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 16:20:20,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
5,Netherlands,Location,ynet,Hebrew,politics,Security Operations,drug smuggling arrest,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 16:20:20,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
5,Amsterdam,Location,ynet,Hebrew,politics,Security Operations,drug smuggling arrest,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 16:20:20,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
5,Israel Police,Organization,ynet,Hebrew,politics,Security Operations,drug smuggling arrest,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 16:20:20,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
5,Netherlands Police,Organization,ynet,Hebrew,politics,Security Operations,drug smuggling arrest,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 16:20:20,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
6,Hamas,Organization,ynet,Hebrew,security,Security Operations,Gaza fighting resumption warning,Neutral,0.9998,0.0001,0.9998,0.0001,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 16:03:08,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
6,Gaza,Location,ynet,Hebrew,security,Security Operations,Gaza fighting resumption warning,Neutral,0.9998,0.0001,0.9998,0.0001,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 16:03:08,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
6,Gaza Envelope Communities,Location,ynet,Hebrew,security,Security Operations,Gaza fighting resumption warning,Neutral,0.9998,0.0001,0.9998,0.0001,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 16:03:08,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
7,Miri Regev,Person,ynet,Hebrew,politics,Coalition & Government,coalition tensions over military draft,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 15:36:07,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
7,Likud,Party,ynet,Hebrew,politics,Coalition & Government,coalition tensions over military draft,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 15:36:07,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
7,Torah Flag,Party,ynet,Hebrew,politics,Coalition & Government,coalition tensions over military draft,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 15:36:07,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
7,Benjamin Netanyahu,Person,ynet,Hebrew,politics,Coalition & Government,coalition tensions over military draft,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 15:36:07,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
7,Knesset,Organization,ynet,Hebrew,politics,Coalition & Government,coalition tensions over military draft,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 15:36:07,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
8,Isaac Herzog,Person,ynet,Hebrew,politics,Coalition & Government,Presidential mediation for negotiations,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 15:30:10,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
8,Benjamin Netanyahu,Person,ynet,Hebrew,politics,Coalition & Government,Presidential mediation for negotiations,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 15:30:10,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
8,State President,Organization,ynet,Hebrew,politics,Coalition & Government,Presidential mediation for negotiations,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 15:30:10,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
9,Donald Trump,Person,ynet,Hebrew,both,International Diplomacy,US-China diplomatic visit,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 15:09:26,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
9,Xi Jinping,Person,ynet,Hebrew,both,International Diplomacy,US-China diplomatic visit,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 15:09:26,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
9,United States,Location,ynet,Hebrew,both,International Diplomacy,US-China diplomatic visit,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 15:09:26,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
9,China,Location,ynet,Hebrew,both,International Diplomacy,US-China diplomatic visit,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 15:09:26,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
9,Taiwan,Location,ynet,Hebrew,both,International Diplomacy,US-China diplomatic visit,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 15:09:26,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
10,Spain,Location,ynet,Hebrew,both,International Diplomacy,EU sanctions on Israeli ministers,Neutral,0.999,0.0009,0.999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:45:17,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0009,-1.0,0.9991
10,Bezalel Smotrich,Person,ynet,Hebrew,both,International Diplomacy,EU sanctions on Israeli ministers,Neutral,0.999,0.0009,0.999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:45:17,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0009,-1.0,0.9991
10,Itamar Ben-Gvir,Person,ynet,Hebrew,both,International Diplomacy,EU sanctions on Israeli ministers,Neutral,0.999,0.0009,0.999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:45:17,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0009,-1.0,0.9991
10,European Union,Organization,ynet,Hebrew,both,International Diplomacy,EU sanctions on Israeli ministers,Neutral,0.999,0.0009,0.999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:45:17,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0009,-1.0,0.9991
10,Hamas,Organization,ynet,Hebrew,both,International Diplomacy,EU sanctions on Israeli ministers,Neutral,0.999,0.0009,0.999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:45:17,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0009,-1.0,0.9991
11,Knesset,Organization,ynet,Hebrew,politics,Coalition & Government,Coalition plans Knesset dissolution,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 14:33:27,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
11,Coalition,Organization,ynet,Hebrew,politics,Coalition & Government,Coalition plans Knesset dissolution,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 14:33:27,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
12,Keir Starmer,Person,ynet,Hebrew,both,Other,British Labour Party internal crisis,Neutral,0.9997,0.0002,0.9997,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:02:27,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0002,-1.0,0.9998
12,Labour Party,Party,ynet,Hebrew,both,Other,British Labour Party internal crisis,Neutral,0.9997,0.0002,0.9997,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:02:27,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0002,-1.0,0.9998
12,Wes Streeting,Person,ynet,Hebrew,both,Other,British Labour Party internal crisis,Neutral,0.9997,0.0002,0.9997,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:02:27,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0002,-1.0,0.9998
12,King Charles III,Person,ynet,Hebrew,both,Other,British Labour Party internal crisis,Neutral,0.9997,0.0002,0.9997,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:02:27,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0002,-1.0,0.9998
12,United Kingdom,Location,ynet,Hebrew,both,Other,British Labour Party internal crisis,Neutral,0.9997,0.0002,0.9997,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 14:02:27,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0002,-1.0,0.9998
13,Benjamin Netanyahu,Person,ynet,Hebrew,both,Judicial & Legal,judicial ruling on Grofman appointment,Neutral,0.9999,0.0,0.9999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 13:13:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-1.0,1.0
13,Supreme Court of Justice,Organization,ynet,Hebrew,both,Judicial & Legal,judicial ruling on Grofman appointment,Neutral,0.9999,0.0,0.9999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 13:13:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-1.0,1.0
13,Roman Grofman,Person,ynet,Hebrew,both,Judicial & Legal,judicial ruling on Grofman appointment,Neutral,0.9999,0.0,0.9999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 13:13:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-1.0,1.0
13,Mossad,Organization,ynet,Hebrew,both,Judicial & Legal,judicial ruling on Grofman appointment,Neutral,0.9999,0.0,0.9999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 13:13:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-1.0,1.0
13,Uri Almakias,Person,ynet,Hebrew,both,Judicial & Legal,judicial ruling on Grofman appointment,Neutral,0.9999,0.0,0.9999,0.0,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 13:13:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-1.0,1.0
14,Benjamin Netanyahu,Person,ynet,Hebrew,politics,Coalition & Government,coalition crisis and Knesset dissolution,Neutral,0.9999,0.0001,0.9999,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 13:09:10,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,0.0,-0.0001
14,Degel Hatorah,Party,ynet,Hebrew,politics,Coalition & Government,coalition crisis and Knesset dissolution,Neutral,0.9999,0.0001,0.9999,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 13:09:10,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,0.0,-0.0001
14,Torah Judaism,Party,ynet,Hebrew,politics,Coalition & Government,coalition crisis and Knesset dissolution,Neutral,0.9999,0.0001,0.9999,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 13:09:10,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,0.0,-0.0001
14,Knesset,Organization,ynet,Hebrew,politics,Coalition & Government,coalition crisis and Knesset dissolution,Neutral,0.9999,0.0001,0.9999,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 13:09:10,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,0.0,-0.0001
14,Coalition,Organization,ynet,Hebrew,politics,Coalition & Government,coalition crisis and Knesset dissolution,Neutral,0.9999,0.0001,0.9999,0.0,Neutral,1.0,0.0,1.0,0.0,anger,2026-05-13 13:09:10,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,0.0,-0.0001
15,Benjamin Netanyahu,Person,ynet,Hebrew,politics,Judicial & Legal,Netanyahu trial denies legislation,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9999,0.0001,0.9999,0.0,anger,2026-05-13 13:07:38,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0001,0.0001
15,Nir Hefetz,Person,ynet,Hebrew,politics,Judicial & Legal,Netanyahu trial denies legislation,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9999,0.0001,0.9999,0.0,anger,2026-05-13 13:07:38,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0001,0.0001
15,Israel Hayom,Organization,ynet,Hebrew,politics,Judicial & Legal,Netanyahu trial denies legislation,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9999,0.0001,0.9999,0.0,anger,2026-05-13 13:07:38,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0001,0.0001
16,Mossad,Organization,ynet,Hebrew,both,Iran-Israel Relations,Israel-UAE coordination against Iran,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 13:03:33,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
16,United Arab Emirates,Location,ynet,Hebrew,both,Iran-Israel Relations,Israel-UAE coordination against Iran,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 13:03:33,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
16,Iran,Location,ynet,Hebrew,both,Iran-Israel Relations,Israel-UAE coordination against Iran,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 13:03:33,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
16,Iron Dome,Event,ynet,Hebrew,both,Iran-Israel Relations,Israel-UAE coordination against Iran,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,anticipation,2026-05-13 13:03:33,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
17,Itamar Ben-Gvir,Person,ynet,Hebrew,politics,Judicial & Legal,Shin Bet misconduct allegations,Neutral,0.9997,0.0001,0.9997,0.0002,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 12:46:07,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0001,-1.0,1.0001
17,Shin Bet,Organization,ynet,Hebrew,politics,Judicial & Legal,Shin Bet misconduct allegations,Neutral,0.9997,0.0001,0.9997,0.0002,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 12:46:07,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0001,-1.0,1.0001
17,Shin Bet Investigator,Person,ynet,Hebrew,politics,Judicial & Legal,Shin Bet misconduct allegations,Neutral,0.9997,0.0001,0.9997,0.0002,Negative,1.0,1.0,0.0,0.0,anger,2026-05-13 12:46:07,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0001,-1.0,1.0001
18,Jerusalem,Location,ynet,Hebrew,both,Security Operations,Flag March tensions and violence fears,Neutral,0.9997,0.0002,0.9997,0.0001,Negative,1.0,1.0,0.0,0.0,fear,2026-05-13 12:43:19,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,-1.0,0.9999
18,Old City,Location,ynet,Hebrew,both,Security Operations,Flag March tensions and violence fears,Neutral,0.9997,0.0002,0.9997,0.0001,Negative,1.0,1.0,0.0,0.0,fear,2026-05-13 12:43:19,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,-1.0,0.9999
18,Israeli Police,Organization,ynet,Hebrew,both,Security Operations,Flag March tensions and violence fears,Neutral,0.9997,0.0002,0.9997,0.0001,Negative,1.0,1.0,0.0,0.0,fear,2026-05-13 12:43:19,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,-1.0,0.9999
18,Knesset,Organization,ynet,Hebrew,both,Security Operations,Flag March tensions and violence fears,Neutral,0.9997,0.0002,0.9997,0.0001,Negative,1.0,1.0,0.0,0.0,fear,2026-05-13 12:43:19,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,-1.0,0.9999
18,Christian institutions,Organization,ynet,Hebrew,both,Security Operations,Flag March tensions and violence fears,Neutral,0.9997,0.0002,0.9997,0.0001,Negative,1.0,1.0,0.0,0.0,fear,2026-05-13 12:43:19,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-0.0001,-1.0,0.9999
19,IDF,Organization,ynet,Hebrew,security,Lebanon & Hezbollah,Cross-border military operations escalation,Neutral,0.9996,0.0002,0.9996,0.0002,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 12:31:40,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
19,Hezbollah,Organization,ynet,Hebrew,security,Lebanon & Hezbollah,Cross-border military operations escalation,Neutral,0.9996,0.0002,0.9996,0.0002,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 12:31:40,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
19,Lebanon,Location,ynet,Hebrew,security,Lebanon & Hezbollah,Cross-border military operations escalation,Neutral,0.9996,0.0002,0.9996,0.0002,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 12:31:40,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
19,Beirut,Location,ynet,Hebrew,security,Lebanon & Hezbollah,Cross-border military operations escalation,Neutral,0.9996,0.0002,0.9996,0.0002,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 12:31:40,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
19,Litani River,Location,ynet,Hebrew,security,Lebanon & Hezbollah,Cross-border military operations escalation,Neutral,0.9996,0.0002,0.9996,0.0002,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 12:31:40,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
20,Knesset,Organization,ynet,Hebrew,politics,Knesset & Legislation,inquiry committee legislative dispute,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9996,0.0004,0.9996,0.0,anger,2026-05-13 11:46:21,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0004,0.0004
20,Bereaved Families,Organization,ynet,Hebrew,politics,Knesset & Legislation,inquiry committee legislative dispute,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9996,0.0004,0.9996,0.0,anger,2026-05-13 11:46:21,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0004,0.0004
20,Member of Knesset Kalner,Person,ynet,Hebrew,politics,Knesset & Legislation,inquiry committee legislative dispute,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9996,0.0004,0.9996,0.0,anger,2026-05-13 11:46:21,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0004,0.0004
21,Roz Fizem,Person,ynet,Hebrew,politics,Social & Civil,Child murder case anniversary,Negative,1.0,1.0,0.0,0.0,Neutral,0.9997,0.0001,0.9997,0.0003,sadness,2026-05-13 11:09:56,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-1.0,0.00019999999999999998,-1.0002
21,Ron Gartner,Person,ynet,Hebrew,politics,Social & Civil,Child murder case anniversary,Negative,1.0,1.0,0.0,0.0,Neutral,0.9997,0.0001,0.9997,0.0003,sadness,2026-05-13 11:09:56,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-1.0,0.00019999999999999998,-1.0002
21,Yarkon River,Location,ynet,Hebrew,politics,Social & Civil,Child murder case anniversary,Negative,1.0,1.0,0.0,0.0,Neutral,0.9997,0.0001,0.9997,0.0003,sadness,2026-05-13 11:09:56,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,-1.0,0.00019999999999999998,-1.0002
22,Donald Trump,Person,ynet,Hebrew,both,Iran-Israel Relations,Iran missile sites operational,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 10:58:13,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
22,Benjamin Netanyahu,Person,ynet,Hebrew,both,Iran-Israel Relations,Iran missile sites operational,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 10:58:13,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
22,Iran,Location,ynet,Hebrew,both,Iran-Israel Relations,Iran missile sites operational,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 10:58:13,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
22,Strait of Hormuz,Location,ynet,Hebrew,both,Iran-Israel Relations,Iran missile sites operational,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,fear,2026-05-13 10:58:13,Morning,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
